RN:,CU:,NC:,SR:,CS:,PL:,SC:,ID:,AG:,IA:,GS:,GA:,OD:,NT:,DA:,IP:,AP:,BH:,OS:,NA:,GB:,GC:,OT:,SH:,AU:,LO:,HY:,RC:,RG:,SL:,ST:,Record #
62019007,427,11A,16000,6.88,Crown/Voice FD L10,OTF,,,,Delphinapterus leucas BB1A,ANWBB1A,08-Jun-1962 BB1A | JunBB1A 1962BB1A,BB1A Whistles; clicks.,5-Aug-94,,,,,2+ BB1A,"Baie Ste. Catherine, Canada BB1A",,,Helio,WAW,"CD #9, 10 | SHIV",,,WHOI Rowboat recorder | Atlantic Research LC34 hydrophone,,NLBB1A | BSBB1A | Whistles BB1A | Clicks BB1A,4
6202200T,0 B8:17.581 5:29.106,11A,80000,4.737,Crown-4CH/ K-H H38,OTF,,,,Delphinapterus leucas BB1A,ANWBB1A,09-Jun-1962 BB1A | JunBB1A 1962BB1A,BB1A Pulsed clicks; squeals.,29-Mar-94,,,,,4 BB1A,"Saguenay River, Canada BB1A",N48BB1A W070BB1A,,Helio,WAW,"CD #1, 2 | Shiv",,,"WHOI Rowboat recorder, Atlantic Research LC34 hydrophone",,BSBB1A | PUBB1A | Pulsed clicks BB1A | Squeals BB1A,10
62026009,132,11A,16000,11.6,Crown/Voice FD L10,OTF,,,,Delphinapterus leucas BB1A,ANWBB1A,08-Jun-1962 BB1A | JunBB1A 1962BB1A,BB1A Clicks; jaw claps; squeals.,8-Aug-94,,,,,2+ BB1A,"Saguenay River, Canada BB1A",N48BB1A W070BB1A,,,WAW,"CD #9, 10 | SHIV",,,WHOI Rowboat recorder | Atlantic Research LC34 hydrophone,,FMBB1A | BSBB1A | Clicks BB1A | Jaw claps BB1A | Squeals BB1A,25
63015004,752,11A,30000,4,Crown/Voice FD L15,OTF,,,,Delphinapterus leucas BB1A,ANWBB1A,22-Jan-1963 BB1A | JanBB1A 1963BB1A,BB1A Whistle; clicks.,8-Aug-94,,,,,2+ BB1A,"New York Aquarium, NY BB1A",,,AQ,WAW,"CD #9, 10 | SHIV",,Pump noise,WHOI Rowboat recorder | Atlantic Research LC32 hydrophone,,FMBB1A | BSBB1A | Whistle BB1A | Clicks BB1A,33
65030009,0 B29:59.884 12:30.622,11A,40000,3.369,Crown-4CH/ K-H H18,OTF,,,,Delphinapterus leucas BB1A,ANWBB1A,9-May-1965 BB1A | MayBB1A 1965BB1A,BB1A N47 25' W070 25' Creaks.,23-Mar-94,,,,,2 BB1A,"Ile aux Coudres, PQ, Canada BB1A",N47BB1A W070BB1A,1200-1305 BB1A,BE,G. Carleton Ray,"CD #1, 2 | Shiv",,,Nagra Tape Recorder,,NSBB1A | Creaks BB1A,37
56006002,0 B8:00.00 0:29.459,11B,60600,1.218,Crown/K-H L1 H30,OT,,,,Tursiops truncatus BD19D | Ambient noise X,INEBD19D INEX,31-Mar-1956 BD19D X | MarBD19D 1956BD19D | MarX 1956X,"BD19D X Tursiops in open water. Lots of lower freq. background noise: boats, pump noise, etc.",29-Jul-94,,,,Lagenorhynchus obliquidens BD6G | Phoca vitulina CC12V | Elasmobranchii L,1 BD19D,"Top Deck at Marine Land of the Pacific, San Diego, California BD19D X",,1550,AQ,WES,"CD #9, 10 | Shiv",,,AX-58 hydrophones | WHOI suitcase amplifier | Magnemite tape recorder,,NLBD19D | BLX | Whistle BD19D | Engine noise X,3
89514005,4026,21B,81920,2.5,JVC,S,FB153 #50 Blacktip Doubledip BD19D,F??FB153 F????FB153,FCFB153 FCFB150,Tursiops truncatus BD19D,ASWBD19D,22-Jun-1989 BD19D | 1989BD19D JunBD19D,BD19D Tursiops truncatus This is a typical signature whistle produced by FB153.,28-Nov-90,,,,,1 BD19D,"Sarasota, Florida BD19D",,,SM,Laela Sayigh,"CD #9, 10 | Shiv",,,Panasonic VHS AG-6400 | Tyack suction cup hydrophones,,"NLBD19D BSBD19D | whistles, clicks BD19D",17
89514011,530 B23.75 21.99,21A,81920,1.737,JVC L3,S 5,FB145 #?? BD19D,F??FB145 F????FB145,FCFB147 FCFB145 | FFFB147 FFFB149 | FFFB145 FFFB149 | FCFB153 FCFB150,Tursiops truncatus BD19D,ASWBD19D,21-Jun-1989 BD19D | 22-Jun-1989 BD19D | 1989BD19D JunBD19D,BD19D Tursiops truncatus This is FB145's signature whistle. JSM.,14-Aug-91,FB147 #?? BD19D | FB145 #?? BD19D | FB149 #?? BD19D | FB153 #50 Blacktip Doubledip BD19D | FB150 #?? BD19D,F??FB147 F????FB147 | F??FB145 F????FB145 | F??FB149 F????FB149 | F??FB153 F????FB153 | M05FB150 M1984FB150,,,1 BD19D,"Sarasota, Florida BD19D",,,SM,Laela Sayigh,"CD #9, 10 | Shiv",,,Panasonic VHS AG-6400 | Tyack suction cup hydrophones,,"NLBD19D BSBD19D | whistles, clicks BD19D",19
89514014,593 B23.75 21.99,21B,81920,1.737,JVC L3,S 5,FB147 #?? BD19D,F??FB147 F????FB147,FCFB147 FCFB145 | FFFB147 FFFB149 | FFFB145 FFFB149 | FCFB153 FCFB150,Tursiops truncatus BD19D,ASWBD19D,21-Jun-1989 BD19D | 22-Jun-1989 BD19D | 1989BD19D JunBD19D,BD19D Tursiops truncatus This is FB147's signature whistle. JSM.,14-Aug-91,FB147 #?? BD19D | FB145 #?? BD19D | FB149 #?? BD19D | FB153 #50 Blacktip Doubledip BD19D | FB150 #?? BD19D,F??FB147 F????FB147 | F??FB145 F????FB145 | F??FB149 F????FB149 | F??FB153 F????FB153 | M05FB150 M1984FB150,,,1 BD19D,"Sarasota, Florida BD19D",,,SM,Laela Sayigh,"CD #9, 10 | Shiv",,,Panasonic VHS AG-6400 | Tyack suction cup hydrophones,,"NLBD19D BSBD19D | whistles, clicks BD19D",21
89514017,3980 B23.75 21.99,21B,81920,1.737,JVC L3,S 5,FB153 #50 Blacktip Doubledip BD19D,F??FB153 F????FB153,FCFB147 FCFB145 | FFFB147 FFFB149 | FFFB145 FFFB149 | FCFB153 FCFB150,Tursiops truncatus BD19D,ASWBD19D,21-Jun-1989 BD19D | 22-Jun-1989 BD19D | 1989BD19D JunBD19D,BD19D Tursiops truncatus This is FB153's signature whistle. JSM.,14-Aug-91,FB147 #?? BD19D | FB145 #?? BD19D | FB149 #?? BD19D | FB153 #50 Blacktip Doubledip BD19D | FB150 #?? BD19D,F??FB147 F????FB147 | F??FB145 F????FB145 | F??FB149 F????FB149 | F??FB153 F????FB153 | M05FB150 M1984FB150,,,1 BD19D,"Sarasota, Florida BD19D",,,SM,Laela Sayigh,"CD #9, 10 | Shiv",,,Panasonic VHS AG-6400 | Tyack suction cup hydrophones,,"NLBD19D BSBD19D | whistles, clicks BD19D",24
