RN:,CU:,NC:,SR:,CS:,PL:,SC:,ID:,AG:,IA:,GS:,GA:,OD:,NT:,DA:,IP:,AP:,BH:,OS:,NA:,GB:,GC:,OT:,SH:,AU:,LO:,HY:,RC:,RG:,SL:,ST:,AvgdB,MaxdB,AvgAvg,AvgMax,AvgMass,Link if applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78018003,225 B190.0 100.4,11A,10240,15.12,Crown/Kay,OTF,,,,Balaena mysticetus AA1A,PNWCC2A PNWAA1A,10-May-1978 CC2A AA1A | MayCC2A 1978CC2A | MayAA1A 1978AA1A,"CC2A AA1A High level Erignathus throughout. Some good bowhead sounds, but no obvious pattern. Copy of Johnson's tape #13/1 and 13/2. One, possibly two bowheads > 2000 m. Generator noise",7-Sep-92,,,,,3+ CC2A | 1+ AA1A,"Barrow, Alaska CC2A AA1A",N71CC2A W157CC2A | N71AA1A W157AA1A,,IC,Jim Johnson,"CD #9, 10 | Shiv-copy",,,Uher 12 tape recorder,,FMCC2A | BLAA1A | FMAA1A | Warble CC2A | Song CC2A | Moan AA1A | Upsweep AA1A | Downsweep AA1A,88.9,106.1,90.1875,104.8125,"79,700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61025009,149 B0:23.700 20.350,21B,43900,1.891,Pemtek/Kay,OTF,,,,Stenella frontalis BD15F,ANWBD15F,6-Aug-1961 BD15F | AugBD15F 1961BD15F,BD15F Whistles; pulsed click series. Good whistles.,4-Aug-94,,,,,10 BD15F,,N38BD15F W073BD15F,,Bear 265,WAW,"CD #9, 10 | SHIV",,,AX-58 hydrophones | Crown tape recorder | WHOI transistor amplifier,,FMBD15F | BSBD15F | PUBD15F | Whistles BD15F | Clicks BD15F | Pulsed click series BD15F,8
88006003,0 B5:00 1:03.211,11A,"10,000",3.615,Crown-4CH/K-H H4.0,OTF,,,,Balaena mysticetus AA1A,PNWAA1A,03-Oct-1988 AA1A | OCTAA1A 1988AA1A,"AA1A From streamed file 88006A.kay (long tape streamed in segments). Growl, squeal.",3-Aug-95,,,Courtship AA1A,,1+ AA1A,"Bailie Is., Beaufort Sea AA1A",,,J MATTSON,BBN (Gogas),"CD#7, 8 | Shiv",15,Flat,Sonobuoy system (SSQ-57),,PUAAlA | NLAA1A | FMAA1A | Growl AA1A | Squeal AA1A,90,100.4,90.1875,104.8125,"79,700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66038004,212,11A,18000,10.9,Crown/ Voice,OTF,,,,Erignathus barbatus CC2A,INECC2A,8-May-1966 CC2A | MayCC2A 1966CC2A,CC2A Phrase two. Watkins' copy of Ray's NYZS #65. Good cut.,30-Apr-92,,,,,3+ CC2A,"10 mi. E Gambell, St. Lawrence I., Alaska CC2A",N63CC2A W171CC2A,,,G. Carleton Ray,"CD #9, 10 | Shiv",9.3,,,,FMCC2A | Warble CC2A,4
88006005,0 B5:00 1:45.139,11A,"10,000",3.617,Crown-4CH/K-H H4.0,OTF,,,,Balaena mysticetus AA1A,PNWAA1A PNWX,03-Oct-1988 AA1A X | OCTAA1A 1988AA1A | OctX 1988X,AA1A X From streamed file 88006A.kay (long tape streamed in segments). Growl. Water sounds.,3-Aug-95,,,Courtship AA1A,,1 AA1A,"Bailie Is., Beaufort Sea AA1A X",,,J MATTSON,BBN (Gogas),"CD#7, 8 | Shiv",15,Flat,Sonobuoy system (SSQ-57),,PUAA1A | BSX | Growl AA1A | Water X,89.1,100.1,90.1875,104.8125,"79,700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72021005,323 B190.0,11A,10240,190,Crown/ Kay,OTF 5,,,,Erignathus barbatus CC2A,INEAA1A INECC2A,04-Feb-1971 AA1A CC2A | FebCC2A 1971CC2A | FebAA1A 1971AA1A,AA1A CC2A Excellent partial bowhead songs in foreground; bearded seals in background. Very repetitive phrasing,1-Sep-92,,,,,"1, possibly 2+ AA1A | 1+ CC2A",Bering Strait AA1A CC2A,N66AA1A W169AA1A | N66CC2A W169CC2A,,UN,Gene Bloom,"CD #9, 10 | Shiv-copy",,,Unmanned hydrophones,,NLAA1A | SOAA1A | FMCC2A | Moans AA1A | Songs AA1A | Warbles CC2A,26
8800600D,0 B5:00 4:01.529,11A,"10,000",6.572,Crown-4CH/K-H H4.0,OT,,,,Balaena mysticetus AA1A,PNWAA1A,03-Oct-1988 AA1A | OCTAA1A 1988AA1A,"AA1A From streamed file 88006A.kay (long tape streamed in segments). Part of song. Moan, squeal.",3-Aug-95,,,Courtship AA1A,,1+ AA1A,"Bailie Is., Beaufort Sea AA1A",,,J MATTSON,BBN (Gogas),"CD#7, 8 | Shiv",15,Flat,Sonobuoy system (SSQ-57),,BLAA1A | SOAA1A | Squeal AA1A | Moan AA1A | Song AA1A,92.3,107.7,90.1875,104.8125,"79,700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78018001,157 B190.0 16.81,11A,10240,54.5,Crown/Kay,OTF,,,,Erignathus barbatus CC2A,PNWCC2A,10-May-1978 CC2A | MayCC2A 1978CC2A,"CC2A AA1A High level Erignathus throughout. Some good bowhead sounds, but no obvious pattern. Copy of Johnson's tape #13/1 and 13/2. One, possibly two bowheads > 2000 m. Generator noise",7-Sep-92,,,,Balaena mysticetus AA1A,3+ CC2A,"Barrow, Alaska CC2A AA1A",N71CC2A W157CC2A,,IC,Jim Johnson,"CD #9, 10 | Shiv-copy",,,Uher 12 tape recorder,,FMCC2A | Warble CC2A,30
8800600P,114 B5:00 0:11.031,11A,"10,000",5.223,Crown-4CH/K-H H4.0,OF,,,,Balaena mysticetus AA1A,PNWAA1A,03-Oct-1988 AA1A | OCTAA1A 1988AA1A,"AA1A From streamed file 88006B.kay (long tape streamed in segments). Part of song. Growl, squeal.",3-Aug-95,,,Courtship AA1A,,1 AA1A,"Bailie Is., Beaufort Sea AA1A",,,J MATTSON,BBN (Gogas),"CD#7, 8 | Shiv",15,Flat,Sonobuoy system (SSQ-57),,PUAA1A | FMAA1A | BLAA1A | SOAA1A | Growl AA1A | Squeal AA1A | Song AA1A,91.6,109.5,90.1875,104.8125,"79,700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78018001,157 B190.0 16.81,11A,10240,54.5,Crown/Kay,OTF,,,,Erignathus barbatus CC2A,PNWCC2A,10-May-1978 CC2A | MayCC2A 1978CC2A,"CC2A AA1A High level Erignathus throughout. Some good bowhead sounds, but no obvious pattern. Copy of Johnson's tape #13/1 and 13/2. One, possibly two bowheads > 2000 m. Generator noise",7-Sep-92,,,,Balaena mysticetus AA1A,3+ CC2A,"Barrow, Alaska CC2A AA1A",N71CC2A W157CC2A,,IC,Jim Johnson,"CD #9, 10 | Shiv-copy",,,Uher 12 tape recorder,,FMCC2A | Warble CC2A,31
88006016,114 B5:00 1:37.558,11A,"10,000",6.531,Crown-4CH/K-H H4.0,N,,,,Balaena mysticetus AA1A,PNWAA1A PNWX,03-Oct-1988 AA1A X | OCTAA1A 1988AA1A | OctX 1988X,"AA1A X From streamed file 88006B.kay (long tape streamed in segments). Part of song. Part of 88006014. Growl, squeal. Water sound.",3-Aug-95,,,Courtship AA1A,,1 AA1A,"Bailie Is., Beaufort Sea AA1A X",,,J MATTSON,BBN (Gogas),"CD#7, 8 | Shiv",15,Flat,Sonobuoy system (SSQ-57),,BLAA1A | SOAA1A | BSX | Growl AA1A | Squeal AA1A | Song AA1A | Water X,92.6,108.2,90.1875,104.8125,"79,700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78018002,225 B190.0 14.85,11A,10240,60.4,Crown/Kay,OTF,,,,Erignathus barbatus CC2A | Balaena mysticetus AA1A,PNWCC2A PNWAA1A,10-May-1978 CC2A AA1A | MayCC2A 1978CC2A | MayAA1A 1978AA1A,"CC2A AA1A High level Erignathus throughout. Some good bowhead sounds, but no obvious pattern. Copy of Johnson's tape #13/1 and 13/2. One, possibly two bowheads > 2000 m. Generator noise",7-Sep-92,,,,,3+ CC2A | 1+ AA1A,"Barrow, Alaska CC2A AA1A",N71CC2A W157CC2A | N71AA1A W157AA1A,,IC,Jim Johnson,"CD #9, 10 | Shiv-copy",,,Uher 12 tape recorder,,FMCC2A | BLAA1A | FMAA1A | Warble CC2A | Song CC2A | Moan AA1A | Upsweep AA1A | Downsweep AA1A,32
55113002,0 B11:48.853 1:10.000,11A,14900,9.689,Crown 2Ch/K-H H5.0,OTF,,,,Megaptera novaeangliae AC2A,ASWAC2A,30-Apr-1953 AC2A | AprAC2A 1953AC2A,AC2A N32' 22 W064' 38 Calls. Reverberation present. Part of cut 55113001. Copy of original SOFAR recordings.,7-Dec-94,,,,,1,"St. David's Island, Bermuda AC2A",N32AC2A W064AC2A,,Platform,Frank Watlington,"CD #5, 6 | SHIV",,,,,FMAC2A | NLAC2A | NSAC2A | Calls AC2A,85,97.1,87.925,101.775,"30,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62019007,427,11A,16000,6.88,Crown/Voice FD L10,OTF,,,,Delphinapterus leucas BB1A,ANWBB1A,08-Jun-1962 BB1A | JunBB1A 1962BB1A,BB1A Whistles; clicks.,5-Aug-94,,,,,2+ BB1A,"Baie Ste. Catherine, Canada BB1A",,,Helio,WAW,"CD #9, 10 | SHIV",,,WHOI Rowboat recorder | Atlantic Research LC34 hydrophone,,NLBB1A | BSBB1A | Whistles BB1A | Clicks BB1A,4
55113004,0 B11:48.853 1:28.990,11A,14900,9.559,Crown 2Ch/K-H H5.0,OTF,,,,Megaptera novaeangliae AC2A,ASWAC2A,30-Apr-1953 AC2A | AprAC2A 1953AC2A,AC2A N32' 22 W064' 38 Calls. Reverberation present. Part of cut 55113001. Copy of original SOFAR recordings.,7-Dec-94,,,,,2,"St. David's Island, Bermuda AC2A",N32AC2A W064AC2A,,Platform,Frank Watlington,"CD #5, 6 | SHIV",,,,,FMAC2A | NLAC2A | NSAC2A | Calls AC2A | Pulsed call AC2A,91.1,103.7,87.925,101.775,"30,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6202200T,0 B8:17.581 5:29.106,11A,80000,4.737,Crown-4CH/ K-H H38,OTF,,,,Delphinapterus leucas BB1A,ANWBB1A,09-Jun-1962 BB1A | JunBB1A 1962BB1A,BB1A Pulsed clicks; squeals.,29-Mar-94,,,,,4 BB1A,"Saguenay River, Canada BB1A",N48BB1A W070BB1A,,Helio,WAW,"CD #1, 2 | Shiv",,,"WHOI Rowboat recorder, Atlantic Research LC34 hydrophone",,BSBB1A | PUBB1A | Pulsed clicks BB1A | Squeals BB1A,10
6301900B,61,21B,5120,4,Crown/Kay,OTF,,,,Megaptera novaeangliae AC2A,ASWAC2A,26-Mar-1963 AC2A | MarAC2A 1963AC2A,AC2A One long call (950 Hz); associated echoes.,8-Aug-94,,,,,1 AC2A,"Argus Island, Bermuda AC2A",N32AC2A W064AC2A,,Offshore Platform,Vernon Coleman,"CD #9, 10 | SHIV",,Flat water | Bottom echoes,Ampex,,NLAC2A | Call AC2A,91.2,101,87.925,101.775,"30,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62026009,132,11A,16000,11.6,Crown/Voice FD L10,OTF,,,,Delphinapterus leucas BB1A,ANWBB1A,08-Jun-1962 BB1A | JunBB1A 1962BB1A,BB1A Clicks; jaw claps; squeals.,8-Aug-94,,,,,2+ BB1A,"Saguenay River, Canada BB1A",N48BB1A W070BB1A,,,WAW,"CD #9, 10 | SHIV",,,WHOI Rowboat recorder | Atlantic Research LC34 hydrophone,,FMBB1A | BSBB1A | Clicks BB1A | Jaw claps BB1A | Squeals BB1A,25
6301900V,0 B35:00.00 0:13.686,11A,14900,13.959,Pemtek 4Ch/K-H H5.0,OTF,,,,Megaptera novaeangliae AC2A,ASWAC2A,26-Mar-1963 AC2A | MarAC2A 1963AC2A,AC2A Song calls. Reverberation present. Great tape.,21-Nov-94,,,,,1,"Argus Island, Bermuda AC2A",N32AC2A W064AC2A,,Offshore Platform,Vernon Coleman,"CD #5, 6 | SHIV",,Platform,Ampex PC-TO,,BLAC2A | NLAC2A | NSAC2A | Song calls AC2A,91.7,107.9,87.925,101.775,"30,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63015004,752,11A,30000,4,Crown/Voice FD L15,OTF,,,,Delphinapterus leucas BB1A,ANWBB1A,22-Jan-1963 BB1A | JanBB1A 1963BB1A,BB1A Whistle; clicks.,8-Aug-94,,,,,2+ BB1A,"New York Aquarium, NY BB1A",,,AQ,WAW,"CD #9, 10 | SHIV",,Pump noise,WHOI Rowboat recorder | Atlantic Research LC32 hydrophone,,FMBB1A | BSBB1A | Whistle BB1A | Clicks BB1A,33
63019019,0 B35:00.00 7:24.290,11A,14900,14.095,Pemtek 4Ch/K-H H5.0,OTF,,,,Megaptera novaeangliae AC2A,ASWAC2A,26-Mar-1963 AC2A | MarAC2A 1963AC2A,AC2A Song calls. Reverberation present. Taken from cut 63019016. Great tape.,21-Nov-94,,,,,1,"Argus Island, Bermuda AC2A",N32AC2A W064AC2A,,Offshore Platform,Vernon Coleman,"CD #5, 6 | SHIV",,Platform,Ampex PC-TO,,NLAC2A | NSAC2A | Song calls AC2A,86.2,98.2,87.925,101.775,"30,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65030009,0 B29:59.884 12:30.622,11A,40000,3.369,Crown-4CH/ K-H H18,OTF,,,,Delphinapterus leucas BB1A,ANWBB1A,9-May-1965 BB1A | MayBB1A 1965BB1A,BB1A N47 25' W070 25' Creaks.,23-Mar-94,,,,,2 BB1A,"Ile aux Coudres, PQ, Canada BB1A",N47BB1A W070BB1A,1200-1305 BB1A,BE,G. Carleton Ray,"CD #1, 2 | Shiv",,,Nagra Tape Recorder,,NSBB1A | Creaks BB1A,37
6301901B,0 B35:00.00 9:41.300,11A,14900,9.365,Pemtek 4Ch/K-H H5.0,OTF,,,,Megaptera novaeangliae AC2A,ASWAC2A,26-Mar-1963 AC2A | MarAC2A 1963AC2A,AC2A Song calls. Reverberation present. Taken from cut 63019016. Great tape.,21-Nov-94,,,,,1,"Argus Island, Bermuda AC2A",N32AC2A W064AC2A,,Offshore Platform,Vernon Coleman,"CD #5, 6 | SHIV",,Platform,Ampex PC-TO,,BLAC2A | FMAC2A | NLAC2A | NSAC2A | Song calls AC2A,84.7,100.8,87.925,101.775,"30,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56006002,0 B8:00.00 0:29.459,11B,60600,1.218,Crown/K-H L1 H30,OT,,,,Tursiops truncatus BD19D | Ambient noise X,INEBD19D INEX,31-Mar-1956 BD19D X | MarBD19D 1956BD19D | MarX 1956X,"BD19D X Tursiops in open water. Lots of lower freq. background noise: boats, pump noise, etc.",29-Jul-94,,,,Lagenorhynchus obliquidens BD6G | Phoca vitulina CC12V | Elasmobranchii L,1 BD19D,"Top Deck at Marine Land of the Pacific, San Diego, California BD19D X",,1550,AQ,WES,"CD #9, 10 | Shiv",,,AX-58 hydrophones | WHOI suitcase amplifier | Magnemite tape recorder,,NLBD19D | BLX | Whistle BD19D | Engine noise X,3
6304300M,0 B30:00.00 24:25.202,11A,14900,7.559,Pemtek 4Ch/K-H H5.0,OTF,,,,Megaptera novaeangliae AC2A,ASWAC2A,1963 AC2A | 1963AC2A,"AC2A N32'21 W064'41 Calls. Reverberation present. Part of cut 6304300G. Recorded by the Sofar station in 1963; copied by Frank Watlington on March 19, 1968.",29-Nov-94,,,,,1,"Castle Harbour, Bermuda AC2A",N32AC2A W064AC2A,,Platform,Frank Watlington,"CD #5, 6 | SHIV (copy)",,,,,FMAC2A | NSAC2A | Calls AC2A,88.2,102.3,87.925,101.775,"30,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89514005,4026,21B,81920,2.5,JVC,S,FB153 #50 Blacktip Doubledip BD19D,F??FB153 F????FB153,FCFB153 FCFB150,Tursiops truncatus BD19D,ASWBD19D,22-Jun-1989 BD19D | 1989BD19D JunBD19D,BD19D Tursiops truncatus This is a typical signature whistle produced by FB153.,28-Nov-90,,,,,1 BD19D,"Sarasota, Florida BD19D",,,SM,Laela Sayigh,"CD #9, 10 | Shiv",,,Panasonic VHS AG-6400 | Tyack suction cup hydrophones,,"NLBD19D BSBD19D | whistles, clicks BD19D",17
92201007,0 B26:08.300 0:42.885,11A,14900,12.787,Sharp Stereo Cassette Deck RT-1010,OTF,,,,Megaptera novaeangliae AC2A,ANWAC2A,14-Feb-1992 | FebAC2A 1992AC2A,AC2A Calls; pulsed calls.,29-Dec-94,,,,,2 AC2A,"1-1.5 miles North of Tortola, British Virgin Islands AC2A",N18AC2A W064AC2A,0645-0710 AC2A,SM,Paul A. Knapp Jr.,"CD#7, 8 | SHIV",15,,TEAC DA-P20 Digital Recorder,,NLAC2A | PUAC2A | Calls AC2A | Pulsed calls AC2A,85.3,103.2,87.925,101.775,"30,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89514011,530 B23.75 21.99,21A,81920,1.737,JVC L3,S 5,FB145 #?? BD19D,F??FB145 F????FB145,FCFB147 FCFB145 | FFFB147 FFFB149 | FFFB145 FFFB149 | FCFB153 FCFB150,Tursiops truncatus BD19D,ASWBD19D,21-Jun-1989 BD19D | 22-Jun-1989 BD19D | 1989BD19D JunBD19D,BD19D Tursiops truncatus This is FB145's signature whistle. JSM.,14-Aug-91,FB147 #?? BD19D | FB145 #?? BD19D | FB149 #?? BD19D | FB153 #50 Blacktip Doubledip BD19D | FB150 #?? BD19D,F??FB147 F????FB147 | F??FB145 F????FB145 | F??FB149 F????FB149 | F??FB153 F????FB153 | M05FB150 M1984FB150,,,1 BD19D,"Sarasota, Florida BD19D",,,SM,Laela Sayigh,"CD #9, 10 | Shiv",,,Panasonic VHS AG-6400 | Tyack suction cup hydrophones,,"NLBD19D BSBD19D | whistles, clicks BD19D",19
56017007,16:00 B16:00 0:55.970,11A,10200,3.657,Crown/ K-H H5.0,OTF,,,,Eubalaena glacialis AA3A | Ship noise X,ANWAA3A ANWX,3-Apr-1956 AA3A X | AprAA3A 1956AA3A | AprX 1956X,AA3A X ET=59.627 One long growl. Ship generator and engine noise occurs consistently at 478 Hz and lesser frequencies.,29-Jun-93,,,,Megaptera novaeangliae AC2A,,"Vineyard Sound, Ma. AA3A X",N41AA3A W071AA3A | N41X W071X,,Risk,WES,"CD #1, 2 | Shiv | CD# 145/Right Whale CD",,,AX-58 hydrophones | WHOI suitcase amplifier | Magnecorder tape recorder,,FMAA3A | Groan AA3A,92.4,101.7,92.5375,103.8375,"23,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89514014,593 B23.75 21.99,21B,81920,1.737,JVC L3,S 5,FB147 #?? BD19D,F??FB147 F????FB147,FCFB147 FCFB145 | FFFB147 FFFB149 | FFFB145 FFFB149 | FCFB153 FCFB150,Tursiops truncatus BD19D,ASWBD19D,21-Jun-1989 BD19D | 22-Jun-1989 BD19D | 1989BD19D JunBD19D,BD19D Tursiops truncatus This is FB147's signature whistle. JSM.,14-Aug-91,FB147 #?? BD19D | FB145 #?? BD19D | FB149 #?? BD19D | FB153 #50 Blacktip Doubledip BD19D | FB150 #?? BD19D,F??FB147 F????FB147 | F??FB145 F????FB145 | F??FB149 F????FB149 | F??FB153 F????FB153 | M05FB150 M1984FB150,,,1 BD19D,"Sarasota, Florida BD19D",,,SM,Laela Sayigh,"CD #9, 10 | Shiv",,,Panasonic VHS AG-6400 | Tyack suction cup hydrophones,,"NLBD19D BSBD19D | whistles, clicks BD19D",21
